level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2203	1700	-1	
2	1	1	0	0	0	1104	90	444	20	-1	
3	1	1	1	0	0	1104	90	444	20	-1	
4	1	1	1	1	0	1104	90	444	20	-1	
5	1	1	1	1	1	1104	91	70	16	48.132038	Journal
5	1	1	1	1	2	1179	91	21	17	95.331085	of
5	1	1	1	1	3	1202	91	27	16	96.038612	the
5	1	1	1	1	4	1235	90	77	18	57.513000	National
5	1	1	1	1	5	1318	90	51	16	53.790550	Finch
5	1	1	1	1	6	1375	90	36	16	93.226654	and
5	1	1	1	1	7	1414	90	65	17	65.714333	Softhitl
5	1	1	1	1	8	1484	90	64	20	51.680649	Socies:
2	1	2	0	0	0	659	107	873	4	-1	
3	1	2	1	0	0	659	107	873	4	-1	
4	1	2	1	1	0	659	107	873	4	-1	
5	1	2	1	1	1	659	107	873	4	95.000000	 
2	1	3	0	0	0	702	155	376	400	-1	
3	1	3	1	0	0	702	155	376	400	-1	
4	1	3	1	1	0	703	155	373	24	-1	
5	1	3	1	1	1	703	156	26	23	84.369339	(in
5	1	3	1	1	2	744	156	35	19	96.460014	the
5	1	3	1	1	3	793	155	83	24	95.855751	female)
5	1	3	1	1	4	892	155	76	24	95.597641	pinkish
5	1	3	1	1	5	984	155	42	21	95.597641	red,
5	1	3	1	1	6	1041	155	35	19	96.949196	the
4	1	3	1	2	0	703	184	373	23	-1	
5	1	3	1	2	1	703	184	57	21	96.291153	sides
5	1	3	1	2	2	777	184	22	19	96.778564	of
5	1	3	1	2	3	816	184	33	19	96.359924	the
5	1	3	1	2	4	868	184	68	19	96.290771	breast
5	1	3	1	2	5	953	185	42	18	96.351379	and
5	1	3	1	2	6	1013	188	63	19	96.620476	upper
4	1	3	1	3	0	702	212	373	24	-1	
5	1	3	1	3	1	702	214	65	19	96.040024	flanks
5	1	3	1	3	2	777	214	54	19	96.879883	have
5	1	3	1	3	3	841	218	60	15	96.141357	some
5	1	3	1	3	4	912	218	47	18	93.281776	very
5	1	3	1	3	5	971	212	55	21	70.419128	smaii
5	1	3	1	3	6	1038	212	37	19	96.910873	dull
4	1	3	1	4	0	703	241	373	25	-1	
5	1	3	1	4	1	703	242	57	20	96.447403	white
5	1	3	1	4	2	778	243	65	23	96.147690	spots,
5	1	3	1	4	3	862	242	35	19	96.147690	the
5	1	3	1	4	4	915	243	71	18	96.768394	centre
5	1	3	1	4	5	1004	241	22	19	96.551094	of
