level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1700	2203	-1	
2	1	1	0	0	0	110	685	356	28	-1	
3	1	1	1	0	0	110	685	356	28	-1	
4	1	1	1	1	0	110	685	356	28	-1	
5	1	1	1	1	1	110	685	55	23	96.057457	Bird
5	1	1	1	1	2	174	685	106	28	96.737663	Species
5	1	1	1	1	3	289	686	177	23	95.389709	Information:
2	1	2	0	0	0	1045	768	511	5	-1	
3	1	2	1	0	0	1045	768	511	5	-1	
4	1	2	1	1	0	1045	768	511	5	-1	
5	1	2	1	1	1	1045	768	511	5	95.000000	 
2	1	3	0	0	0	379	767	439	5	-1	
3	1	3	1	0	0	379	767	439	5	-1	
4	1	3	1	1	0	379	767	439	5	-1	
5	1	3	1	1	1	379	767	439	5	95.000000	 
2	1	4	0	0	0	1597	656	15	20	-1	
3	1	4	1	0	0	1597	656	15	20	-1	
4	1	4	1	1	0	1597	656	15	20	-1	
5	1	4	1	1	1	1597	656	15	20	83.391525	Fi
2	1	5	0	0	0	103	825	1473	8	-1	
3	1	5	1	0	0	103	825	1473	8	-1	
4	1	5	1	1	0	103	825	1473	8	-1	
5	1	5	1	1	1	103	825	1473	8	95.000000	 
2	1	6	0	0	0	103	887	1473	9	-1	
3	1	6	1	0	0	103	887	1473	9	-1	
4	1	6	1	1	0	103	887	1473	9	-1	
5	1	6	1	1	1	103	887	1473	9	95.000000	 
2	1	7	0	0	0	103	950	1473	7	-1	
3	1	7	1	0	0	103	950	1473	7	-1	
4	1	7	1	1	0	103	950	1473	7	-1	
5	1	7	1	1	1	103	950	1473	7	95.000000	 
2	1	8	0	0	0	102	991	1474	8	-1	
3	1	8	1	0	0	102	991	1474	8	-1	
4	1	8	1	1	0	102	991	1474	8	-1	
5	1	8	1	1	1	102	991	1474	8	95.000000	 
2	1	9	0	0	0	102	1032	1474	9	-1	
3	1	9	1	0	0	102	1032	1474	9	-1	
4	1	9	1	1	0	102	1032	1474	9	-1	
5	1	9	1	1	1	102	1032	1474	9	95.000000	 
2	1	10	0	0	0	102	1074	1473	7	-1	
3	1	10	1	0	0	102	1074	1473	7	-1	
4	1	10	1	1	0	102	1074	1473	7	-1	
5	1	10	1	1	1	102	1074	1473	7	95.000000	 
2	1	11	0	0	0	102	1116	1473	8	-1	
3	1	11	1	0	0	102	1116	1473	8	-1	
4	1	11	1	1	0	102	1116	1473	8	-1	
5	1	11	1	1	1	102	1116	1473	8	95.000000	 
2	1	12	0	0	0	45	1150	23	18	-1	
3	1	12	1	0	0	45	1150	23	18	-1	
4	1	12	1	1	0	45	1150	23	18	-1	
5	1	12	1	1	1	45	1150	23	18	95.000000	 
2	1	13	0	0	0	102	1156	1473	9	-1	
3	1	13	1	0	0	102	1156	1473	9	-1	
4	1	13	1	1	0	102	1156	1473	9	-1	
5	1	13	1	1	1	102	1156	1473	9	95.000000	 
2	1	14	0	0	0	102	1197	1473	9	-1	
3	1	14	1	0	0	102	1197	1473	9	-1	
4	1	14	1	1	0	102	1197	1473	9	-1	
5	1	14	1	1	1	102	1197	1473	9	95.000000	 
2	1	15	0	0	0	45	1168	39	57	-1	
3	1	15	1	0	0	45	1168	39	57	-1	
4	1	15	1	1	0	45	1168	39	57	-1	
5	1	15	1	1	1	45	1168	39	57	95.000000	 
2	1	16	0	0	0	102	1239	1473	8	-1	
3	1	16	1	0	0	102	1239	1473	8	-1	
4	1	16	1	1	0	102	1239	1473	8	-1	
5	1	16	1	1	1	102	1239	1473	8	95.000000	 
2	1	17	0	0	0	102	1280	1472	8	-1	
3	1	17	1	0	0	102	1280	1472	8	-1	
4	1	17	1	1	0	102	1280	1472	8	-1	
5	1	17	1	1	1	102	1280	1472	8	95.000000	 
2	1	18	0	0	0	101	1322	1473	7	-1	
3	1	18	1	0	0	101	1322	1473	7	-1	
4	1	18	1	1	0	101	1322	1473	7	-1	
5	1	18	1	1	1	101	1322	1473	7	95.000000	 
2	1	19	0	0	0	101	1364	1473	7	-1	
3	1	19	1	0	0	101	1364	1473	7	-1	
4	1	19	1	1	0	101	1364	1473	7	-1	
5	1	19	1	1	1	101	1364	1473	7	95.000000	 
2	1	20	0	0	0	101	1405	1473	8	-1	
3	1	20	1	0	0	101	1405	1473	8	-1	
4	1	20	1	1	0	101	1405	1473	8	-1	
5	1	20	1	1	1	101	1405	1473	8	95.000000	 
2	1	21	0	0	0	101	1447	1473	7	-1	
3	1	21	1	0	0	101	1447	1473	7	-1	
4	1	21	1	1	0	101	1447	1473	7	-1	
5	1	21	1	1	1	101	1447	1473	7	95.000000	 
2	1	22	0	0	0	101	1488	1474	8	-1	
3	1	22	1	0	0	101	1488	1474	8	-1	
4	1	22	1	1	0	101	1488	1474	8	-1	
5	1	22	1	1	1	101	1488	1474	8	95.000000	 
2	1	23	0	0	0	63	746	1502	771	-1	
3	1	23	1	0	0	63	746	1502	771	-1	
4	1	23	1	1	0	110	746	932	27	-1	
5	1	23	1	1	1	110	746	82	25	96.511276	Species
5	1	23	1	1	2	200	746	97	21	95.921165	Common
5	1	23	1	1	3	308	748	68	19	96.138557	Name:
5	1	23	1	1	4	818	749	81	24	96.627823	Species
5	1	23	1	1	5	910	749	52	20	96.445221	Latin
5	1	23	1	1	6	972	749	70	20	96.426315	Name:
4	1	23	1	2	0	142	789	1395	26	-1	
5	1	23	1	2	1	142	790	63	18	95.337082	Please
5	1	23	1	2	2	212	789	22	19	82.444153	fill
5	1	23	1	2	3	241	792	32	16	96.393257	out
5	1	23	1	2	4	280	790	33	18	96.592651	the
5	1	23	1	2	5	318	790	58	18	96.065430	below
5	1	23	1	2	6	383	790	49	18	96.618134	table
5	1	23	1	2	7	438	790	29	18	96.727394	for
5	1	23	1	2	8	472	790	47	18	96.766571	each
5	1	23	1	2	9	525	790	41	19	95.270569	bird
5	1	23	1	2	10	570	790	24	19	97.006317	of
5	1	23	1	2	11	596	791	32	18	96.850014	the
5	1	23	1	2	12	635	792	72	20	96.806702	species
5	1	23	1	2	13	712	796	37	17	96.902023	you
5	1	23	1	2	14	755	796	34	13	96.777344	are
5	1	23	1	2	15	795	792	104	21	94.913399	registering
5	1	23	1	2	16	906	792	37	17	96.721123	into
5	1	23	1	2	17	951	792	32	17	96.721123	the
5	1	23	1	2	18	988	796	90	17	94.455353	program.
5	1	23	1	2	19	1095	792	47	21	96.312401	(You
5	1	23	1	2	20	1147	797	45	17	96.311920	may
5	1	23	1	2	21	1198	793	54	18	95.987427	make
5	1	23	1	2	22	1258	793	98	18	91.071350	additional
5	1	23	1	2	23	1361	794	64	21	94.645073	copies
5	1	23	1	2	24	1430	793	16	17	94.645073	if
5	1	23	1	2	25	1449	793	88	22	91.333580	needed.)
4	1	23	1	3	0	114	831	1396	37	-1	
5	1	23	1	3	1	114	833	16	18	84.830986	#
5	1	23	1	3	2	200	836	48	20	96.278778	Bird
5	1	23	1	3	3	257	836	31	20	95.297691	ID
5	1	23	1	3	4	296	836	100	20	96.902306	Number
5	1	23	1	3	5	480	834	59	21	96.044449	Date
5	1	23	1	3	6	547	834	103	21	96.044449	Hatched
5	1	23	1	3	7	710	831	50	37	96.897820	Sex
5	1	23	1	3	8	872	831	96	37	96.128166	Source
5	1	23	1	3	9	1113	838	237	24	72.145142	Bloodline/Relation
5	1	23	1	3	10	1359	838	151	21	96.508331	Information
4	1	23	1	4	0	70	865	1495	31	-1	
